著者名,作品数(重複あり),作品数(重複無し),total青空文字数,文字収集率,total青空行数,行収集率,total青空録音時間(時:分:秒),録音収集率,accept文字数,accept行数,accept録音時間(時:分:秒),reject文字数,reject行数,reject録音時間(時:分:秒),daisy subフォルダー名
西田幾多郎,2,2,124809,0.831,5988,0.821,00007:57:20,0.813,103758,4914,00006:28:18,21051,1074,00001:29:03
石川啄木,1,1,8499,0.894,501,0.884,00000:32:02,0.895,7596,443,00000:28:41,903,58,00000:03:21
折口信夫,3,2,139675,0.717,8394,0.775,00009:07:34,0.766,100216,6509,00006:59:17,39459,1885,00002:08:17
泉鏡花,4,4,284643,0.729,15592,0.794,00022:27:30,0.803,207491,12374,00018:02:06,77152,3218,00004:25:25
浅沼稲次郎,3,3,45955,0.93,2800,0.929,00002:56:44,0.92,42726,2600,00002:42:36,3229,200,00000:14:08
浅野和三郎,1,1,133942,0.748,8880,0.76,00008:47:23,0.731,100133,6752,00006:25:38,33809,2128,00002:21:44
倉田百三,1,1,121699,0.85,10283,0.832,00009:29:43,0.841,103436,8557,00007:59:09,18263,1726,00001:30:34
村井弦斎,3,3,497261,0.6,18092,0.79,00025:02:38,0.779,298225,14294,00019:30:00,199036,3798,00005:32:38
村岡博,2,2,789,0.798,66,0.364,00000:05:02,0.447,630,24,00000:02:15,159,42,00000:02:47
太宰治,238,144,2072298,0.837,123617,0.841,00110:08:16,0.837,1733878,103998,00092:12:23,338420,19619,00017:55:53
大阪圭吉,7,7,111128,0.796,5254,0.827,00006:11:51,0.795,88404,4345,00004:55:38,22724,909,00001:16:13
大杉栄,2,2,188981,0.822,10644,0.691,00011:48:04,0.698,155322,7353,00008:14:21,33659,3291,00003:33:44
鷹野つぎ,1,1,1469,0.831,107,0.794,00000:05:32,0.765,1221,85,00000:04:14,248,22,00000:01:18
谷崎潤一郎,35,22,1967312,0.764,96823,0.798,00110:13:59,0.795,1502134,77230,00087:37:59,465178,19593,00022:36:00
竹内浩三,36,26,9181,0.821,1919,0.368,00001:39:12,0.357,7539,707,00000:35:28,1642,1212,00001:03:45
中勘助,1,1,8807,0.749,477,0.795,00000:29:21,0.751,6593,379,00000:22:03,2214,98,00000:07:18
中谷宇吉郎,32,31,193279,0.868,9748,0.862,00011:45:45,0.857,167767,8405,00010:04:46,25512,1343,00001:40:59
中島敦,8,7,88459,0.66,8024,0.501,00013:18:28,0.497,58408,4023,00006:37:14,30051,4001,00006:41:14
中里介山,36,31,3797129,0.752,168900,0.807,00332:41:09,0.806,2856933,136232,00268:00:14,940196,32668,00064:40:55
長谷川伸,4,4,94508,0.728,10500,0.726,00006:00:38,0.725,68828,7620,00004:21:21,25680,2880,00001:39:17
長与善郎,1,1,66374,0.912,2909,0.935,00002:18:20,0.934,60506,2721,00002:09:14,5868,188,00000:09:06
田山花袋,4,3,250916,0.884,14917,0.888,00018:11:35,0.884,221841,13244,00016:05:18,29075,1673,00002:06:17
田中英光,4,3,191222,0.841,13630,0.857,00012:33:56,0.851,160737,11676,00010:41:15,30485,1954,00001:52:40
田中貢太郎,35,31,139652,0.672,6283,0.747,00009:09:08,0.708,93873,4693,00006:29:00,45779,1590,00002:40:07
田畑修一郎,1,1,19156,0.868,1198,0.881,00001:05:05,0.866,16633,1055,00000:56:21,2523,143,00000:08:43
島崎藤村,14,12,1704605,0.78,70905,0.818,00134:47:49,0.812,1329299,57980,00109:28:33,375306,12925,00025:19:15
徳田秋声,3,2,369467,0.909,19957,0.91,00023:50:48,0.905,335715,18160,00021:35:01,33752,1797,00002:15:47
徳富蘇峰,1,1,134680,0.631,11346,0.608,00010:20:37,0.606,84934,6895,00006:16:09,49746,4451,00004:04:28
内村鑑三,2,2,47302,0.839,2827,0.854,00005:19:03,0.848,39669,2415,00004:30:25,7633,412,00000:48:38
南方熊楠,1,1,30124,0.505,1869,0.527,00002:00:02,0.492,15199,985,00000:59:06,14925,884,00001:00:56
楠山正雄,10,10,38657,0.886,2307,0.889,00002:19:21,0.873,34249,2052,00002:01:41,4408,255,00000:17:40
二葉亭四迷,1,1,112206,0.76,8130,0.777,00008:01:39,0.765,85279,6315,00006:08:37,26927,1815,00001:53:02
梅崎春生,10,7,335806,0.919,25000,0.926,00023:04:34,0.926,308645,23151,00021:22:35,27161,1849,00001:41:59
萩原朔太郎,10,6,125689,0.766,7734,0.821,00009:04:51,0.804,96287,6346,00007:17:52,29402,1388,00001:46:59
尾崎士郎,9,9,93189,0.924,6330,0.919,00005:17:59,0.916,86104,5817,00004:51:24,7085,513,00000:26:35
浜尾四郎,7,7,408930,0.732,15068,0.792,00020:08:23,0.737,299336,11928,00014:50:01,109594,3140,00005:18:22
平林初之輔,2,2,10649,0.865,717,0.512,00000:43:15,0.531,9215,367,00000:22:58,1434,350,00000:20:18
穂積陳重,1,1,134667,0.559,9901,0.505,00009:17:42,0.517,75255,4998,00004:48:20,59412,4903,00004:29:22
邦枝完二,1,1,73436,0.851,5391,0.857,00004:13:32,0.856,62491,4618,00003:36:54,10945,773,00000:36:38
北条民雄,2,2,30804,0.959,2032,0.954,00001:37:19,0.957,29545,1938,00001:33:07,1259,94,00000:04:12
北大路魯山人,254,93,506663,0.842,28699,0.839,00021:45:20,0.838,426817,24081,00018:14:28,79846,4618,00003:30:52
牧野富太郎,7,5,109268,0.768,7205,0.7,00007:47:35,0.695,83931,5040,00005:24:49,25337,2165,00002:22:46
堀辰雄,20,15,666914,0.792,32352,0.874,00049:39:16,0.861,528200,28282,00042:44:39,138714,4070,00006:54:37
本庄陸男,2,1,245854,0.95,18153,0.922,00015:30:47,0.924,233457,16729,00014:20:10,12397,1424,00001:10:37
夢野久作,8,8,553490,0.778,30941,0.789,00039:12:18,0.793,430579,24425,00031:05:35,122911,6516,00008:06:44
野呂栄太郎,1,1,618,0.744,22,0.591,00000:01:45,0.627,460,13,00000:01:06,158,9,00000:00:39
矢田津世子,16,8,272082,0.808,17118,0.846,00014:40:53,0.837,219873,14485,00012:16:57,52209,2633,00002:23:55
柳田国男,9,7,473949,0.702,26492,0.809,00030:25:55,0.804,332606,21430,00024:27:33,141343,5062,00005:58:22
有島武郎,11,11,522438,0.841,19070,0.862,00024:18:41,0.856,439280,16442,00020:49:13,83158,2628,00003:29:28
葉山嘉樹,2,2,162573,0.78,9324,0.8,00007:41:06,0.779,126837,7457,00005:59:07,35736,1867,00001:42:00
林不忘,4,4,48146,0.74,3541,0.752,00003:01:23,0.739,35617,2663,00002:14:03,12529,878,00000:47:20
林芙美子,14,7,241449,0.83,15966,0.844,00013:39:54,0.843,200385,13469,00011:31:30,41064,2497,00002:08:24
和辻哲郎,3,2,551335,0.795,15109,0.828,00024:08:17,0.835,438255,12506,00020:08:43,113080,2603,00003:59:34
壺井栄,4,4,287672,0.836,14140,0.856,00012:17:40,0.857,240378,12097,00010:31:50,47294,2043,00001:45:50
合計,3632,2265,97881534,0.828,5160584,0.842,05857:58:46,0.835,81012433,4345664,04892:03:26,16869101,814920,00965:55:20
